slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material,movement_type,history,event_date,landslide,label,lat_grid,lon_grid,historical_landslide_density,elevation_m,slope_deg,aspect_deg,rain_30min,rain_3h,rain_24h,rain_24h_mm,rain_72h_mm,rain_7d,rain_7d_mm,satellite_change_proxy,rainfall_1d,rainfall_available,year,month,day_of_year,monsoon_season
ASM/HLKD/83D10/2016/58,Assam,Hailakandi,Terracherra Slide,Terracherra area,24.478972,92.682861,Debris,Slide,17 May 2016,2016-05-17,1,1,24.4,92.6,0.83,56.0,7.44,204.5,0.3,5.5,23.0,23.0,36.6,81.8,81.8,0.45,23.0,1,2016,5,138,0
ASM/HLKD/83D10/2016/59,Assam,Hailakandi,Lalcherra Slide (Rabinala),Near Patakhouri Durga Mandir Under Bilaipur Forest Village; Lala Police Station,24.511306,92.693028,Debris,Slide,18 May 2016,2016-05-18,1,1,24.5,92.6,4.17,39.0,1.75,143.9,0.45,4.0,28.0,28.0,56.5,109.8,109.8,0.45,28.0,1,2016,5,139,0
ASM/HLKD/83D10/2016/60,Assam,Hailakandi,Ramchandi (Koyabasti),Ramchandi area,24.515944,92.540889,Earth/Soil,Slide,18 May 2016,2016-05-18,1,1,24.5,92.5,1.67,41.0,3.88,323.3,0.5,3.5,31.7,31.7,70.4,125.4,125.4,0.45,31.7,1,2016,5,139,0
AS/CAC/83D10/2009-10/AS-1,Assam,Cachar,Palgana slide,Paglagaon (near Mursabarti) under Baghbahar GP part 3,24.57025,92.685,Debris,Slide,02 April 2010,2010-04-02,1,1,24.5,92.6,4.17,43.0,6.74,15.5,0.0,0.0,8.6,8.6,200.0,314.8,314.8,0.45,8.6,1,2010,4,92,0
ASM/CCR/83H2/2016/66,Assam,Cachar,Khasiapunji slide,Khasiapunji village,24.645417,93.005361,Debris,Slide,31 August 2016,2016-08-31,1,1,24.6,93.0,0.83,359.0,22.85,149.1,0.25,1.0,8.7,8.7,18.2,48.2,48.2,0.45,8.7,1,2016,8,244,1
ASM/KRGJ/83D06/2016/61,Assam,Karimganj,Rakhalbasti,"Rakhalbasti, near Sonaicherra TG. Under Ram Krishna",24.659389,92.497361,Earth/Soil,Slide,18 May 2016,2016-05-18,1,1,24.6,92.4,0.83,24.0,2.57,174.2,0.35,4.3,55.8,55.8,119.8,190.8,190.8,0.45,55.8,1,2016,5,139,0
ASM/HLK/83D10/2020/004,Assam,Hailakandi,Mohanpur Grant Slide 2,"Mohanpur Grant, Hailakandi Circle.",24.70656,92.65008,Debris,Slide,02 June 2020,2020-06-02,1,1,24.7,92.6,2.5,47.0,5.77,78.7,0.35,1.5,15.8,15.8,35.2,228.4,228.4,0.45,15.8,1,2020,6,154,1
AS/KAR/83D06/2009-10/AS-2,Assam,Karimganj,Rongpur slide,Rongpur Village,24.710833,92.481167,Debris,Slide,03 June 2010,2010-06-03,1,1,24.7,92.4,2.5,34.0,11.5,228.8,0.0,0.1,5.7,5.7,36.4,203.3,203.3,0.45,5.7,1,2010,6,154,1
ASM/CHR/83D14/2020/0002,Assam,Cachar,Govindnagar Slide,"Govindnagar Pt. II, Sonai",24.72192,92.90381,Debris,Slide,05 June 2020,2020-06-05,1,1,24.7,92.9,0.83,35.0,6.84,214.3,0.05,0.1,3.5,3.5,35.3,85.0,85.0,0.45,3.5,1,2020,6,157,1
ASM/HLK/83D10/2020/005,Assam,Hailakandi,Mohanpur Grant Slide 3,"Mohanpur Grant, Hailakandi Circle.",24.73117,92.64739,Debris,Slide,02 June 2020,2020-06-02,1,1,24.7,92.6,2.5,24.0,1.65,290.2,0.35,1.5,15.8,15.8,35.2,228.4,228.4,0.45,15.8,1,2020,6,154,1
ASM/KGJ/83D05/2020/0008,Assam,Karimganj,Karimpur Slide 2,"Karimpur, Nilam Bazar",24.78002778,92.45372222,Earth/Soil,Slide,02 June 2020,2020-06-02,1,1,24.7,92.4,2.5,52.0,3.11,84.8,0.35,2.0,21.3,21.3,39.1,231.3,231.3,0.45,21.3,1,2020,6,154,1
ASM/KGJ/83D05/2020/007,Assam,Karimganj,Karimpur Slide 1,"Karimpur, Nilam Bazar",24.78380556,92.45563889,Earth/Soil,Slide,02 June 2020,2020-06-02,1,1,24.7,92.4,2.5,17.0,6.85,214.3,0.35,2.0,21.3,21.3,39.1,231.3,231.3,0.45,21.3,1,2020,6,154,1
ASM/HLK/83D09/2020/006,Assam,Hailakandi,Chandipur Grant Slide,"Bowarthar, Chandipur, Algapur Circle.",24.79489,92.55506,Debris,Slide,02 June 2020,2020-06-02,1,1,24.7,92.5,0.83,43.0,11.13,227.1,0.3,1.5,20.5,20.5,39.2,251.3,251.3,0.45,20.5,1,2020,6,154,1
ASM/CHR/83H01/2020/001,Assam,Cachar,Kanakpur Slide,"Kanakpur Pt. III, Lakhipur, Joypur",24.92097,93.07306,Earth/Soil,Slide,02 June 2020,2020-06-02,1,1,24.9,93.0,3.33,64.0,7.78,261.6,0.35,1.5,47.4,47.4,70.0,307.2,307.2,0.45,47.4,1,2020,6,154,1
AS/NC/83C16/2009-10/AS-4,Assam,Dima Hasao,Mailongdisa-Harangajao slide,Between Mailongdisa and Harangajao Railway stations. CHainage:128.400 km to 128.600 km,25.121,92.915028,Debris,Slide,20 June 2010,2010-06-20,1,1,25.1,92.9,17.5,319.0,12.23,93.9,3.7,23.8,69.4,69.4,100.0,177.2,177.2,0.45,69.4,1,2010,6,171,1
AS/NC/83C16/2009-10/AS-5,Assam,Dima Hasao,Mailongdisa-Harangajao-2 slide,Between Mailongdisa and Harangajao railway station (Chainage: 130.100 Km to 130.400 Km),25.124306,92.904278,Debris,Slide,02 April 2010,2010-04-02,1,1,25.1,92.9,17.5,301.0,23.67,58.5,0.15,0.4,11.5,11.5,168.4,287.1,287.1,0.45,11.5,1,2010,4,92,0
AS/NC/83C16/2009-10/AS-3,Assam,Dima Hasao,Jatinga-Longrangajao slide,Between Jatinga and Longrangajao Railway stations (Chainage:120.100 km to 120.400 km),25.124583,92.989111,Debris,Slide,16 June 2010,2010-06-16,1,1,25.1,92.9,17.5,545.0,24.29,81.1,0.1,0.2,9.6,9.6,50.0,111.5,111.5,0.45,9.6,1,2010,6,167,1
AS/DH/83C16/2018/002,Assam,Dima Hasao,Jatinga Lampur landslide.,Between Jatinga Lampur Railway Station and Harangajao Railway Station.,25.146306,93.942167,Debris,Slide,14 June 2018,2018-06-14,1,1,25.1,93.9,4.17,1287.0,16.12,86.1,0.45,2.3,29.8,29.8,233.0,346.6,346.6,0.45,29.8,1,2018,6,165,1
AS/DH/83G04/2018/003,Assam,Dima Hasao,Phiding slide,"Near Phiding Railway Station. Between Mahur and Phiding RS, NFR.",25.224278,93.222861,Debris,Slide,14 June 2018,2018-06-14,1,1,25.2,93.2,13.33,620.0,14.69,188.9,3.5,12.7,63.8,63.8,290.0,320.6,320.6,0.45,63.8,1,2018,6,165,1
AS/NC/83G04/2009-10/AS-6,Assam,Dima Hasao,Mahur-Wadringdisa slide,,25.229556,93.1556,Debris,Slide,02 April 2010,2010-04-02,1,1,25.2,93.1,13.33,477.0,13.66,60.6,0.0,0.0,2.7,2.7,16.2,90.5,90.5,0.45,2.7,1,2010,4,92,0
AS/DH/83G04/2018/004,Assam,Dima Hasao,Dautohaja Tunnel No. 3 slide.,"Between Phiding and Dautohaja Railway Station, NFR.",26.098167,91.881278,Debris,Slide,14 June 2018,2018-06-14,1,1,26.0,91.8,14.17,83.0,2.7,343.3,0.0,0.0,10.1,10.1,26.1,59.7,59.7,0.45,10.1,1,2018,6,165,1
AS/DH/83C16/2018/001,Assam,Dima Hasao,Bandarkhal landslide.,Between NFR Bridge No. 305 and Tunnel No. 19 (~2 km SW of Bandarkhal Railway Station).,26.11,94.76,Debris,Slide,14 June 2018,2018-06-14,1,1,26.1,94.7,0.83,1025.0,9.7,151.7,0.6,2.2,16.1,16.1,159.6,233.9,233.9,0.45,16.1,1,2018,6,165,1
AS/KRP/78N16/2018/001,Assam,Kamrup,Shankardev Nagar slide,NH37 towards Shillong.,26.112667,91.853889,Debris,Slide,24 August 2018,2018-08-24,1,1,26.1,91.8,17.5,190.0,12.43,61.5,0.05,0.3,17.2,17.2,41.4,97.3,97.3,0.45,17.2,1,2018,8,236,1
ASM/KMP/78N16/2017/03,Assam,Kamrup (Metro),Anandapur-Gangapur slide,Hengrabari,26.15428,91.79264,Debris,Slide,13 June 2017,2017-06-13,1,1,26.1,91.7,52.5,73.0,12.2,183.6,0.0,0.0,68.7,68.7,118.7,123.6,123.6,0.45,68.7,1,2017,6,164,1
ASM/KMP/78N16/2017/05,Assam,Kamrup (Metro),Dakshin Saraniya-1,Ganpat Mandir road,26.17672,91.76525,Debris,Slide,13 June 2017,2017-06-13,1,1,26.1,91.7,52.5,70.0,9.95,193.4,0.0,0.0,68.7,68.7,118.7,123.6,123.6,0.45,68.7,1,2017,6,164,1
ASM/KMP/78N16/2017/0004,Assam,Kamrup (Metro),Dakshin Saraniya-2,Ganpat Mandir road,26.17756,91.76589,Debris,Slide,13 June 2017,2017-06-13,1,1,26.1,91.7,52.5,98.0,19.07,219.7,0.0,0.0,68.7,68.7,118.7,123.6,123.6,0.45,68.7,1,2017,6,164,1
ASM/KMP/78N16/2017/06,Assam,Kamrup (Metro),Bonda-Hajongdisa slide,Tuinang colony,26.18842,91.85125,Earth/Soil,Slide,16 June 2017,2017-06-16,1,1,26.1,91.8,17.5,155.0,26.35,71.1,1.35,4.8,44.0,44.0,53.0,174.5,174.5,0.45,44.0,1,2017,6,167,1
ASM/KAM/78N16/2017/08,Assam,Kamrup (Metro),Bonda colony slide no. 2,"Babubasti–Panikhaiti road section/Bonda colony, Amgaon",26.19081,91.84528,Earth/Soil,Slide,04 July 2017,2017-07-04,1,1,26.1,91.8,17.5,59.0,9.02,191.5,0.3,2.1,36.8,36.8,130.6,253.1,253.1,0.45,36.8,1,2017,7,185,1
AS/KRP/78N16/2018/003,Assam,Kamrup,Hastinapur landslide,Hastinapur Near Jorabat opposite of Cow bazaar,26.195306,91.765639,Debris,Slide,24 August 2018,2018-08-24,1,1,26.1,91.7,52.5,94.0,3.53,347.4,0.0,0.0,31.6,31.6,74.5,118.5,118.5,0.45,31.6,1,2018,8,236,1
AS/KAM/78N16/2014/05,Assam,Kamrup (Metro),Karghuli,Chandmari Road,26.19622,91.76336,Earth/Soil,Flow,23 March 2011,2011-03-23,1,1,26.1,91.7,52.5,91.0,5.94,195.1,0.0,0.0,0.0,0.0,6.0,64.2,64.2,0.45,0.0,1,2011,3,82,0
AS/NC/83G04/2009/B-5,Assam,Dima Hasao,Phaiding Landslide,,26.20261,91.14528,Debris,Slide,20 August 2009,2009-08-20,1,1,26.2,91.1,0.83,37.0,0.86,0.0,0.1,0.6,5.1,5.1,34.4,125.8,125.8,0.45,5.1,1,2009,8,232,1
ASM/KAM/78N16/2017/09,Assam,Kamrup (Metro),Panikhaiti–Bongaon slide,"Panikhaiti, Bongaon, near railway line.",26.20536,91.86497,Debris,Slide,03 July 2017,2017-07-03,1,1,26.2,91.8,0.83,81.0,13.63,65.5,2.8,13.0,66.9,66.9,146.9,231.3,231.3,0.45,66.9,1,2017,7,184,1
ASM/KAM/78N16/2017/07,Assam,Kamrup (Metro),Bonda colony slide no. 1,"Babubasti–Panikhaiti road section/Bonda colony, Amgaon",26.37456,91.84561,Earth/Soil,Slide,04 July 2017,2017-07-04,1,1,26.3,91.8,0.83,54.0,3.54,215.6,0.4,6.3,41.6,41.6,116.3,269.3,269.3,0.45,41.6,1,2017,7,185,1
AS/UDA/83B01/2021/02,Assam,Udalguri,Udalguri Slope Failure (AS/UDA/83B01/2021/02),,26.88969,92.12266,Rock-cum-Debris,Fall,28 April 2021,2021-04-28,1,1,26.8,92.1,1.67,228.0,25.35,101.7,0.0,0.0,0.1,0.1,2.1,6.6,6.6,0.45,0.1,1,2021,4,118,0
AS/UDA/83B01/2021/01,Assam,Udalguri,Udalguri Slope Failure (AS/UDA/83B01/2021/01),,26.89074,92.12068,Rock-cum-Debris,Fall,28 April 2021,2021-04-28,1,1,26.8,92.1,1.67,211.0,22.98,154.9,0.0,0.0,0.1,0.1,2.1,6.6,6.6,0.45,0.1,1,2021,4,118,0
AS/KAM(M)/76N16/2024/2,Assam,Kamrup (Metro),Garo Basti Slide,"Garo Basti Slide, 8th Mile, Guwahati",26.11464,91.83886,Earth/Soil,Slide,05 July 2024,2024-07-05,1,1,26.1,91.8,17.5,165.0,8.55,216.8,0.55,3.6,17.4,17.4,63.7,274.8,274.8,0.45,17.4,1,2024,7,187,1
AS/K(M)/76N16/2024/01,Assam,Kamrup (Metro),Rudra Nagar Slide,"Rudra Nagar, Near Rajohuwa Namghar, Chandmari",26.19044,91.77502,Earth/Soil,Slide,24 May 2024,2024-05-24,1,1,26.1,91.7,52.5,111.0,9.0,104.7,0.0,0.1,2.5,2.5,3.7,49.2,49.2,0.45,2.5,1,2024,5,145,0
ASM/DH/83G04/2022-23/014,Assam,Dima Hasao,South Bagetar Slide 1,South Bagetar,25.16736,93.00953,Debris,Slide,15 May 2022,2022-05-15,1,1,25.1,93.0,118.33,636.0,25.05,105.4,0.25,0.6,12.2,12.2,61.3,119.3,119.3,0.45,12.2,1,2022,5,135,0
ASM/DH/83G04/2022-23/017,Assam,Dima Hasao,Kana Basti Slide 2,"Kana Basti, Haflong",25.16023,93.01084,Debris,Slide,14 May 2022,2022-05-14,1,1,25.1,93.0,118.33,590.0,22.49,166.8,0.05,0.5,30.9,30.9,67.9,121.4,121.4,0.45,30.9,1,2022,5,134,0
ASM/DH/83G04/2022-23/015,Assam,Dima Hasao,South Bagetar Slide 2,South Bagetar,25.16579,93.00948,Debris,Slide,14 May 2022,2022-05-14,1,1,25.1,93.0,118.33,577.0,17.17,97.4,0.05,0.5,30.9,30.9,67.9,121.4,121.4,0.45,30.9,1,2022,5,134,0
ASM/DH/83G04/2022-23/016,Assam,Dima Hasao,Kana Basti Slide 1,"Kana Basti, Haflong",25.15859,93.01292,Debris,Slide,14 May 2022,2022-05-14,1,1,25.1,93.0,118.33,581.0,15.87,122.9,0.05,0.5,30.9,30.9,67.9,121.4,121.4,0.45,30.9,1,2022,5,134,0
AS/KAMRUP(M)/78N16/2014- 15/0006,Assam,Kamrup (Metro),"Dakhingaon, slide.",Near Kahilipara-Ganesh mandir road.,26.13441667,91.74875,Debris,Flow,22 September 2014,2014-09-22,1,1,26.1,91.7,52.5,102.0,11.49,274.2,3.0,18.2,55.8,55.8,142.1,184.5,184.5,0.45,55.8,1,2014,9,265,1
AS/KAMRUP(M)/78N16/2014- 15/0007,Assam,Kamrup (Metro),Ganeshpur-Lalmati Slide,"About 500 m south of Game village, Lalmati, NH-37",26.10711111,91.78916667,Earth/Soil,Flow,23 September 2014,2014-09-23,1,1,26.1,91.7,52.5,71.0,5.91,337.0,2.35,11.3,37.9,37.9,104.6,209.7,209.7,0.45,37.9,1,2014,9,266,1
AS/KAMRUP/78N12/2015- 16/0004,Assam,Kamrup,Jorabat-Khanapara,"About 200 m North of NH-31, In front of IIT(G) approach",26.09961111,91.87811111,Earth/Soil,Slide,25 September 2014,2014-09-25,1,1,26.0,91.8,14.17,84.0,4.9,86.6,0.05,0.5,12.1,12.1,86.8,285.8,285.8,0.45,12.1,1,2014,9,268,1
ASM/DH/83G04/2022-23/027,Assam,Dima Hasao,Mahadev Tilla Slide 1,"Mahadev Tilla, Haflong",25.15556,93.021583,Debris,Slide,14 May 2022,2022-05-14,1,1,25.1,93.0,118.33,601.0,11.93,106.4,0.05,0.5,30.9,30.9,67.9,121.4,121.4,0.45,30.9,1,2022,5,134,0
ASM/DH/83G04/2022-23/026,Assam,Dima Hasao,Lower Songpijang Slide 1,"Lower Sonpijang, Haflong",25.158138,93.024778,Earth/Soil,Slide,15 May 2022,2022-05-15,1,1,25.1,93.0,118.33,554.0,9.11,353.5,0.25,0.6,12.2,12.2,61.3,119.3,119.3,0.45,12.2,1,2022,5,135,0
ASM/DH/83G4/ PD/2016/55,Assam,Dima Hasao (N.C. Hills),Nutan Lampur slide -1,"NH 54, near Nutan Lampur",25.24194444,93.14319444,Debris,Slide,22 May 2016,2016-05-22,1,1,25.2,93.1,13.33,628.0,8.18,313.9,0.0,0.0,23.1,23.1,90.8,176.0,176.0,0.45,23.1,1,2016,5,143,0
ASM/DH/83G4/ PD/2016/04,Assam,Dima Hasao (N.C. Hills),Mupa – Langting RF Rock slide,"NH 54, Mupa – Langting Reserved Forest,",25.41733333,93.12908333,Rock,Slide,22 May 2016,2016-05-22,1,1,25.4,93.1,4.17,369.0,14.62,229.5,0.0,0.0,18.7,18.7,79.9,165.8,165.8,0.45,18.7,1,2016,5,143,0
ASM/DH/83G04/2022-23/025,Assam,Dima Hasao,Tularam Raji Slide 2,"Tularam Raji, Haflong",25.16804,93.02503,Debris,Slide,14 May 2022,2022-05-14,1,1,25.1,93.0,118.33,479.0,19.24,356.3,0.05,0.5,30.9,30.9,67.9,121.4,121.4,0.45,30.9,1,2022,5,134,0
ASM/DH/83G04/2022-23/044,Assam,Dima Hasao,Tularam Raji Slide 3,"Tularam Raji, Haflong",25.168083,93.024922,Earth/Soil,Slide,14 May 2022,2022-05-14,1,1,25.1,93.0,118.33,502.0,19.39,351.9,0.05,0.5,30.9,30.9,67.9,121.4,121.4,0.45,30.9,1,2022,5,134,0
ASM/DH/83G4/ PD/2016/56,Assam,Dima Hasao (N.C. Hills),Nutan Lampur slide -2,"NH 54, near Nutan Lampur,",25.27480556,93.14555556,Rock,Slide,22 May 2016,2016-05-22,1,1,25.2,93.1,13.33,507.0,8.28,7.1,0.0,0.0,23.1,23.1,90.8,176.0,176.0,0.45,23.1,1,2016,5,143,0
ASM/DH/83G4/ PD/2016/53,Assam,Dima Hasao (N.C. Hills),Mahur railway station slide,"Mahur railway station, Haflong, Dima Hasao (NC Hills)",25.18955556,93.09641667,Debris,Slide,22 May 2016,2016-05-22,1,1,25.1,93.0,118.33,549.0,19.43,103.9,0.0,0.0,21.3,21.3,107.5,247.2,247.2,0.45,21.3,1,2016,5,143,0
ASM/KAMRUP(M)/78N16/2016- 17/62,Assam,Kamrup (Metro),Piyali Phukan Nagar Slide,"Njiura Par Path, Piyali Phukan Nagar, Guwahati.",26.19552778,91.78055556,Earth/Soil,Slide,22 June 2016,2016-06-22,1,1,26.1,91.7,52.5,180.0,6.15,32.9,0.1,0.8,11.7,11.7,18.7,151.3,151.3,0.45,11.7,1,2016,6,174,1
ASM/DH/83G04/2022-23/032,Assam,Dima Hasao,Moulhoi Slide 3,Moulhoi village,25.17483,93.019861,Debris,Slide,15 May 2022,2022-05-15,1,1,25.1,93.0,118.33,654.0,30.43,335.1,0.25,0.6,12.2,12.2,61.3,119.3,119.3,0.45,12.2,1,2022,5,135,0
ASM/DH/83G04/2022-23/033,Assam,Dima Hasao,Mahadev Tilla slide 2,Mahadev Tilla village,25.1568056,93.019722,Debris,Slide,13 May 2022,2022-05-13,1,1,25.1,93.0,118.33,673.0,23.57,70.0,0.35,1.6,18.2,18.2,64.3,91.0,91.0,0.45,18.2,1,2022,5,133,0
ASM/DH/83G04/2022-23/047,Assam,Dima Hasao,Natun Basti Slide 5,"Natun Basti, Haflong",25.162667,93.009806,Debris,Slide,14 May 2022,2022-05-14,1,1,25.1,93.0,118.33,538.0,12.1,176.4,0.05,0.5,30.9,30.9,67.9,121.4,121.4,0.45,30.9,1,2022,5,134,0
ASM/DH/83G4/ PD/2016 /01,Assam,Dima Hasao (N.C. Hills),Migrendisa slide,"Near Migrendisa Railway Station, Migrendisa.",25.17986111,93.07077778,Debris,Slide,17 May 2016,2016-05-17,1,1,25.1,93.0,118.33,507.0,15.0,43.6,0.6,3.3,12.4,12.4,46.0,121.6,121.6,0.45,12.4,1,2016,5,138,0
ASM/DH/83G4/PD/2016/02,Assam,Dima Hasao (N.C. Hills),New Haflong R. S slide(1),West slope of New Haflong Railway Station.,25.14677778,93.03097222,Debris,Slide,17 May 2016,2016-05-17,1,1,25.1,93.0,118.33,470.0,30.05,8.5,0.6,3.3,12.4,12.4,46.0,121.6,121.6,0.45,12.4,1,2016,5,138,0
ASM/DH/83G4/ PD/2016/25,Assam,Dima Hasao,Mahadev Tila slide-2,"Haflong town, Dima Hasao (NC Hills)",25.15561111,93.02222222,Debris,Slide,17 May 2016,2016-05-17,1,1,25.1,93.0,118.33,604.0,2.0,180.0,0.6,3.3,12.4,12.4,46.0,121.6,121.6,0.45,12.4,1,2016,5,138,0
ASM/DH/83G4/PD/2016/26,Assam,Dima Hasao,Haflong-Jatinga road section slide-01,"Haflong town, Dima Hasao (NC Hills)",25.15658333,93.01961111,Debris,Slide,22 May 2016,2016-05-22,1,1,25.1,93.0,118.33,622.0,22.36,94.9,0.0,0.0,21.3,21.3,107.5,247.2,247.2,0.45,21.3,1,2016,5,143,0
ASM/DH/83G4/ PD/2016/29,Assam,Dima Hasao (N.C. Hills),Haflong-Jatinga road section slide-04,"Haflong town,",25.15713889,93.01719444,Debris,Slide,27 May 2016,2016-05-27,1,1,25.1,93.0,118.33,658.0,20.35,106.4,0.0,0.0,5.2,5.2,18.1,141.3,141.3,0.45,5.2,1,2016,5,148,0
ASM/DH/83G4/ PD/2016/42,Assam,Dima Hasao (N.C. Hills),96 km Migrendisa slide,"96 km, Migrendisa – Haflong rail section, near Diyung bridge.",25.164,93.04019444,Debris,Slide,22 May 2016,2016-05-22,1,1,25.1,93.0,118.33,450.0,25.32,88.8,0.0,0.0,21.3,21.3,107.5,247.2,247.2,0.45,21.3,1,2016,5,143,0
ASM/DH/83G4/PD/2016/43,Assam,Dima Hasao (N.C. Hills),New Haflong R.S. slide - (2),New Haflong Railway Station,25.14872222,93.03191667,Debris,Creep,17 May 2016,2016-05-17,1,1,25.1,93.0,118.33,457.0,17.87,28.4,0.6,3.3,12.4,12.4,46.0,121.6,121.6,0.45,12.4,1,2016,5,138,0
ASM/DH/83G4/PD/2016/44,Assam,Dima Hasao (N.C. Hills),New Haflong R. S slide(3),"New Haflong Railway Station, Dima Hasao (NC Hills)",25.14525,93.02916667,Debris,Slide,17 May 2016,2016-05-17,1,1,25.1,93.0,118.33,536.0,25.98,20.0,0.6,3.3,12.4,12.4,46.0,121.6,121.6,0.45,12.4,1,2016,5,138,0
ASM/DH/83G4/ PD/2016/24,Assam,Dima Hasao,Mahadev Tilla-1,"Mahadev Tilla, Haflong,Dima Hasao (NC Hills)",25.15572222,93.02277778,Earth/Soil,Slide,22 May 2016,2016-05-22,1,1,25.1,93.0,118.33,608.0,12.98,275.0,0.0,0.0,21.3,21.3,107.5,247.2,247.2,0.45,21.3,1,2016,5,143,0
ASM/DH/83G4/ PD/2016 /35,Assam,Dima Hasao,Haflong – Gunjung road section soil creep-6,Haflong – Gunjung road section,25.23230556,93.03333333,Earth/Soil,Creep,17 May 2016,2016-05-17,1,1,25.2,93.0,18.33,551.0,24.65,167.5,0.6,3.3,12.4,12.4,46.0,121.6,121.6,0.45,12.4,1,2016,5,138,0
ASM/DH/83G4/ PD/2016/07,Assam,Dima Hasao (N.C. Hills),Haflong – Gunjung slide-1,Near Gunjung village road section,25.20552778,93.02013889,Debris,Slide,22 May 2016,2016-05-22,1,1,25.2,93.0,18.33,352.0,14.73,112.3,0.0,0.0,21.3,21.3,107.5,247.2,247.2,0.45,21.3,1,2016,5,143,0
ASM/DH/83G4/ PD/2016/31,Assam,Dima Hasao,Haflong – Gunjung road section slide- 02,Haflong – Gunjung road section,25.24597222,93.02827778,Debris,Slide,22 May 2016,2016-05-22,1,1,25.2,93.0,18.33,603.0,20.48,147.1,0.0,0.0,21.3,21.3,107.5,247.2,247.2,0.45,21.3,1,2016,5,143,0
AS/K(M)/76N16/2024/01,Assam,Kamrup (Metro),Rudra Nagar Slide,"Rudra Nagar, Near Rajohuwa Namghar, Chandmari",26.19052,91.77499,Earth/Soil,Slide,24 May 2024,2024-05-24,1,1,26.1,91.7,52.5,111.0,9.0,104.7,0.0,0.1,2.5,2.5,3.7,49.2,49.2,0.45,2.5,1,2024,5,145,0
ASM/DH/83G4/ PD/2016/30,Assam,Dima Hasao,Gadhi Rojai Slide,"Haflong town, Dima Hasao (NC Hills)",25.15933333,93.017,Earth/Soil,Slide,22 May 2016,2016-05-22,1,1,25.1,93.0,118.33,679.0,4.21,281.7,0.0,0.0,21.3,21.3,107.5,247.2,247.2,0.45,21.3,1,2016,5,143,0
ASM/DH/83G4/ PD/2016/28,Assam,Dima Hasao,Haflong-Jatinga road section slide-03,"Haflong town, Dima Hasao (NC Hills)",25.15736111,93.01608333,Rock,Slide,22 May 2016,2016-05-22,1,1,25.1,93.0,118.33,647.0,21.01,117.0,0.0,0.0,21.3,21.3,107.5,247.2,247.2,0.45,21.3,1,2016,5,143,0
ASM/DH/83G4/ PD/2016/33,Assam,Dima Hasao,Haflong – Gunjung road section slide- 04,Haflong – Gunjung road section,25.23880556,93.03219444,Rock,Slide,22 May 2016,2016-05-22,1,1,25.2,93.0,18.33,550.0,17.2,150.3,0.0,0.0,21.3,21.3,107.5,247.2,247.2,0.45,21.3,1,2016,5,143,0
ASM/DH/83G4/ PD/2016/40,Assam,Dima Hasao (N.C. Hills),Lungkok slide (Haflong – Gunjung road 11),"-Haflong – Gunjung road section, Lungkok village, Lower Haflong",25.19669444,93.01858333,Rock,Slide,22 May 2016,2016-05-22,1,1,25.1,93.0,118.33,433.0,17.5,306.9,0.0,0.0,21.3,21.3,107.5,247.2,247.2,0.45,21.3,1,2016,5,143,0
ASM/DH/83G4/ PD/2016/41,Assam,Dima Hasao (N.C. Hills),Lower Haflong slide (Haflong – Gunjung road-12),"Haflong – Gunjung road section, Lower Haflong",25.18844444,93.01966667,Rock,Slide,22 May 2016,2016-05-22,1,1,25.1,93.0,118.33,506.0,9.32,316.7,0.0,0.0,21.3,21.3,107.5,247.2,247.2,0.45,21.3,1,2016,5,143,0
ASM/DH/83G4/ PD /2016/03,Assam,Dima Hasao (N.C. Hills),Heuwangberam subsidence zone-1,"NH 54, Heuwangberam,",25.20738889,93.12277778,Debris,Subsidence,20 August 2014,2014-08-20,1,1,25.2,93.1,13.33,673.0,12.08,146.8,0.0,0.0,1.4,1.4,8.2,85.8,85.8,0.45,1.4,1,2014,8,232,1
ASM/DH/83G4/ PD/2016/10,Assam,Dima Hasao,N.D Raji.-1,"N.D Raji village, Haflong, Dima Hasao (NC Hills)",25.17597222,93.02016667,Debris,Slide,22 May 2016,2016-05-22,1,1,25.1,93.0,118.33,577.0,11.38,336.2,0.0,0.0,21.3,21.3,107.5,247.2,247.2,0.45,21.3,1,2016,5,143,0
ASM/DH/83G4/ PD/2016/11,Assam,Dima Hasao,N.D Raji (Hamar)-2,"N.D Raji (Hamar)village, Haflong, Dima Hasao (NC Hills)",25.17505556,93.02041667,Debris,Slide,22 May 2016,2016-05-22,1,1,25.1,93.0,118.33,593.0,20.43,337.2,0.0,0.0,21.3,21.3,107.5,247.2,247.2,0.45,21.3,1,2016,5,143,0
ASM/DH/83G4/ PD/2016/12,Assam,Dima Hasao,"Huonveng, N.D Raji-3","N.D Raji (Hmar)village, Haflong, Dima Hasao (NC Hills)",25.17188889,93.02061111,Debris,Slide,22 May 2016,2016-05-22,1,1,25.1,93.0,118.33,616.0,26.06,334.9,0.0,0.0,21.3,21.3,107.5,247.2,247.2,0.45,21.3,1,2016,5,143,0
ASM/DH/83G4/ PD/2016/13,Assam,Dima Hasao,Songpiang-1,"Songpiang village, Haflong, Dima Hasao (NC Hills)",25.16563889,93.02544444,Debris,Fall,22 May 2016,2016-05-22,1,1,25.1,93.0,118.33,515.0,11.96,318.8,0.0,0.0,21.3,21.3,107.5,247.2,247.2,0.45,21.3,1,2016,5,143,0
